Track;Variants;Country;NoSignUp;Mandatory;Spot;Length
;;;;;;
fforduk;;;;;;
Silverstone;;UK;;;;
Snetterton;;UK;;;;
Thruxton;;UK;;;;
Oulton Park;;UK;;;;
Brands Hatch;;UK;;;;
Knockhill;;UK;;;;
;;;;;;
v8supercars;;;;;;
Melbourne;;Australia;;1;2;
Adelaide;;Australia;;1;1;
Queensland;;Australia;;1;;
Eastern Creek;;Australia;;1;;
Winton;;Australia;;1;;
Bathurst;;Australia;;1;8;Endurance
Road America;;USA;;;;
Putnam;;USA;;;;
Virginia;;USA;;;;
Laguna Seca;;USA;;;;
VeloPark;;Brazil;;;;
Interlagos;;Brazil;;;;
Montreal;;Canada;;;;
Suzuka;;Japan;;;;
Abu Dhabi;;UAE;;;;
;;;;;;
weclmp;;;;;;
Le Mans;;France;1;1;3;24h
Sebring;;USA;;1;;12h
Suzuka;;Japan;;;;
Sepang;;Malaysia;;;;
Silverstone;;UK;;;;
Portugal;;Portugal;;;;
Sao Paulo;;Brazil;;;;
Indianapolis;;USA;;;;
Lime Rock;;USA;;;;
Mid-Ohio;;USA;;;;
Mills Metropark;;USA;1;1;;24h
Toban;;USA;;;;
Palm Beach;;USA;;;;
;;;;;;
formulae;;;;;;
Hong Kong;;HK;;1;;
Mores;;Italy;;;;
Silverstone;;UK;;;;
Toban;;USA;;;;
Lime Rock;;USA;;;;
Palm Beach;;USA;;;;
Sebring;;USA;;;;
Putnam;;USA;;;;
Mills;;USA;;;;
Suzuka;;Japan;;;;
;;;;;;
scbrazil;;;;;;
Velopark;;Brazil;;;;
Curvelo;;Brazil;;;;
Brasilia;;Brazil;;;;
Campo Grande;;Brazil;;;;
Caruaru;;Brazil;;;;
Cascavel;;Brazil;;;;
Curitiba;;Brazil;;;;
Floripa;;Brazil;;;;
Gioania;;Brazil;;;;
Guapore;;Brazil;;;;
Interlagos;;Brazil;;1;;
Jacarepagua;;Brazil;;;;
Londrina;;Brazil;;;;
Ribeirao Preto;;Brazil;;;;
Salvador;;Brazil;;;;
Santa Cruz du Sol;;Brazil;;;;
Taruma;;Brazil;;;;
Cordoba;;Argentina;;;;
;;;;;;
formula1;;;;;;
Baku;;Azerbaijan;;;;
Suzuka;;Japan;;;;
Abu Dhabi;;UAE;;;;
Spielberg;;Austria;;;;
Spa;;Belgium;;1;8;
Magny-Cours;;France;;;;
Nurburgring;;Germany;;;;
Hockenheimring;;Germany;;;;
Silverstone;;UK;;;;
Imola;;Italy;;;;
Monza;;Italy;;1;9;
Barcelona;;Spain;;1;;
Jerez;;Spain;;;;
Montreal;;Canada;;;;
COTA;;USA;;;;
Melbourne;;Australia;;1;1;
Interlagos;;Brazil;;;;
Adelaide;;Australia;;;;
Hungaroring;;Hungary;;;;
Monte Carlo;;Monaco;;1;4;
;;;;;;
pcarger;;;;;;
Nurburgring;;Germany;;1;;
Spa;;Belgium;;1;;
Hockenheimring;;Germany;;1;;
Mendig;;Germany;;1;;
Spielberg;;Austria;;1;;
Brands Hatch;;UK;;;;
Oulton Park;;UK;;;;
Silverstone;;UK;;;;
Monza;;Italy;;;;
Imola;;Italy;;;;
Cadwell Park;;UK;;;;
;;;;;;
f3euro;;;;;;
Portimao;;Portugal;;;;
Barcelona;;Spain;;;;
Jerez;;Spain;;;;
Magny-Cours;;France;;;;
Monza;;Italy;;;;
Nurburgring;;Germany;;;;
Silverstone;;UK;;;;
Spa;;Belgium;;;;
Brands Hatch;;UK;;;;
Hockenheimring;;Germany;;;;
Imola;;Italy;;;;
Spielberg;;Austria;;;;
;;;;;;
lancerrx;;;;;;
Foz;;Brazil;;1;;
Hockenheimring;;Germany;;1;;
Buskerud;;Norway;;1;;
Tykki Dirt 2;;Finland;;;;
Tykki Dirt 2;;Finland;;;;
Tykki RX;;Finland;;;;
Tykki Tarmac;;Finland;;;;
;;;;;;
fdirt;;;;;;
Ascurra;;Brazil;;;;
Buskerud Ice;;Norway;;;;
;;;;;;
cots;;;;;;
Floripa 1;;Brazil;;;;
Floripa 2;;Brazil;;;;
Floripa 3;;Brazil;;;;
Floripa 4;;Brazil;;;;
;;;;;;
strucks;;;;;;
Adelaide;;Australia;;;;
Cascavel;;Brazil;;;;
Cordoba;;Argentina;;;;
Curitiba;;Brazil;;;;
Goiania;;Brazil;;;;
Guapore;;Brazil;;;;
Suzuka;;Japan;;;;
Mendig;;Germany;;;;
Montreal;;Canada;;;;
Salvador;;Brazil;;;;
;;;;;;
gx390ortona;;;;;;
Ortona Kart 1;;Italy;;;;
Ortona Kart 2;;Italy;;;;
Ortona Kart 3;;Italy;;;;
Ortona Kart 4;;Italy;;;1;
;;;;;;
gx390floripa;;;;;;
Floripa Kart 1;;Brazil;;;;
Floripa Kart 2;;Brazil;;;;
Floripa Kart 3;;Brazil;;;;
Floripa Kart 4;;Brazil;;;1;
;;;;;;
gx390sp;;;;;;
Speedland 3;;Brazil;;;;
Speedland 4;;Brazil;;;;
Interlagos Kart 3;;Brazil;;;;
Interlagos Kart 2;;Brazil;;;;
Granja Viana 6;;Brazil;;;;
Granja Viana 5;;Brazil;;;;
;;;;;;
ekcshi;;;;;;
Buskerud 1;;Norway;;;;
Buskerud 2;;Norway;;;;
Ortona 1;;Italy;;;;
Ortona 2;;Italy;;;;
Ortona 3;;Italy;;;;
Ortona 4;;Italy;;;;
;;;;;;
bncshi;;;;;;
Floripa;;Brazil;;;;
Granja Viana;;Brazil;;;;
Interlagos;;Brazil;;;;
Londrina;;Brazil;;;;
Speedland;;Brazil;;;;
